Date,Week,Month,Year,Lines,Models,DefectsDescription,InspectedQty,DefectsQty,DefectsDescriptionqty,Defects %,DefectStatus,Check,FPY,DPPM
2024-08-01,31,August,2024,A09,X6525,Camera not working,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,Camera blur/fuzziness,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,phone screen Display abnormal,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Battery cover scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A10,X6528,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A10,X6528,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Camera not working,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Camera particle,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A10,X6528,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Camera particle,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A10,X6528,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Mi housing off paint,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,The back camera has a bad white spot,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,PS fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,phone screen Display abnormal,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Vibration fail/continuous,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,TP failure,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,TP scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,CL6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,CL6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,CL6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,PS fail,,,1,,Scanned,Assembly,,
